Time,User,Chat
10:57:54,누군가조종하는벌목기,굿 모닝 HeyGuys
10:57:55,hgphi2,1111
10:57:56,파카_9999,팤하~
10:57:56,집나간너구리,손!손!손!손!손!손!손!
10:57:57,자율전공부,방송 자주 켜줘서 너무 고마워 😭😭😁😁
10:57:58,파카가돈절래를그린데이,오늘와줘서 고마워!!!
10:57:58,빼먹는박종우,응애응애응애
10:57:58,미로ㅋ,채널포인트가 13만인데 할게없어!
10:57:58,hgphi2,굿모닝
10:57:59,우리만남은빙글빙글돌고,안녕하세요~
10:58:00,_촐랑,보고싶엇어
10:58:01,DUBU0213,3분전 언저리..
10:58:01,jinoish,파카 광저우에 살아서 지금 7시인가
10:58:02,dodododopa,노래 뭔가요
10:58:02,ai1ll,손인욱 생각하고있었더니 방송 켜졌어 ㅠㅠㅠㅠ
10:58:04,컷컽캇,보고싶었어요
10:58:05,랄혁준,파카 사랑해
10:58:05,509509a,이거 노래제목 뭐얌?
10:58:06,찌루왕,오늘도 게임추천 받나요?
10:58:06,수댕이형,<3
10:58:06,학이3,응애
10:58:07,sjsqkffk,이정도면 8시 언저리 아닐까요???
10:58:10,lee0104,보고싶었어~
10:58:11,chanwoo0127,이게 서울식 언저리인가 지방사람은 모르겠네
10:58:15,자율전공부,BibleThump
10:58:15,Pyh0134,선생님 오늘 또오십니까
10:58:16,hhs333,안녕하세요
10:58:16,참깨과자ㅏ,혹시 중국에 사시나요?
10:58:17,파카를입은손인욱,머선129
10:58:19,철수영희그리고형섭,번데기탕에다가 쏘맥 시켜야지~~~~
10:58:20,누군가조종하는벌목기,언저리는 내림입니다
10:58:21,Lennon7legend,BibleThump BibleThump
10:58:21,파카가돈절래를그린데이,13만포인트 13만원으로바꿔줌ㄷㄷ
10:58:23,착한_악질,BibleThump
10:58:26,파카를입은손인욱,파카파카파카!
10:58:27,마나스,팤하
10:58:27,갸슥햐,응얘
10:58:28,lovelydearest,7시 언저리 (3분 남음)
10:58:31,jonghyun95,BibleThump
10:58:32,zetnight86,선생님 8시 언저리인거같습니다만
10:58:32,bgh0323,ㅎㅇㅎㅇ
10:58:33,hjo82655,어차피 방종은 생체시계로 하는데 ㅋㅋ
10:58:34,2698kdh,<3
10:58:36,긴밤충,벌레찌개 한접사해야겟다
10:58:37,bquiet0,팤하
10:58:38,lee0104,이제 8시로 바뀐다고
10:58:39,inhoj6263,안녕하세요 선생님
10:58:39,realangry97,파카사랑해
10:58:41,parkkr23,어제는 9시 6분에 키고 8시 언저리였는데 오늘은 양심적이네요
10:58:41,파카를입은손인욱,파카 너무조아
10:58:45,나작석,팤하팤하
10:58:48,eogus20,ㅋ
10:58:49,과자_단맛짠맛,헬포디마렵다
10:58:49,janghyeon0620,안녕하세요파카님
10:58:49,wony406,8신데요?
10:58:50,이샹해,너무좋아
10:58:50,기묭자,7시 58분 (7시언저리)
10:58:51,붕어빵속에붕어,반갑습니다
10:58:52,맨소래담,와씨 딱 파카 마려웠는데 이걸
10:58:52,예리하다,사랑해 손인욱 !!
10:58:52,백수맨_,번데기못먹는 파카님 안녕하세요
10:58:53,inhoj6263,팍하
10:58:56,jae0892,오늘 마스터 가시나요?
10:59:00,hhs333,가끔 당신을 생각하면 가슴이 저릿해요
10:59:02,zetnight86,파카츄!
10:59:03,말랑구밍,번데기를 어케먹어;
10:59:04,눈이사르륵,팤하
10:59:04,파캊쨔응,아 9시 전에 켜기로 맘먹었으면 8시 언저리지 ㅋㅋ
10:59:06,이샹해,HyperJump HyperJump HyperJump
10:59:07,hj930110,벌레찌개혐오자 파카님 안녕하세요
10:59:09,20010614,인욱아 나 사랑에 빠진거같아....
10:59:09,금발양아치,파카는못참아
10:59:11,일_썽,팤하
10:59:11,파카1111,손인욱의 손(이)가 도착했습니다 TwitchVotes
10:59:12,수영장파티손인욱,하이
10:59:13,CotJdalschL,사랑해
10:59:13,길가에떨어진휴지조각,선생님 오늘은 빨리 오셨네요
10:59:14,2698kdh,BibleThump
10:59:15,지밀,팤하
10:59:16,a4112,팤선생님 안녕하세용
10:59:20,kyz6828,사랑해 나의작은 다람쥐
10:59:21,metallization,잘들려요~~
10:59:21,파카가돈절래를그린데이,7시언저리 너무좋아!!!
10:59:22,재석삼촌힘내요,편집자 일 안함? 유튜브 개늦게 올라오네
10:59:25,김주청,파카님은 블서 안하시나요?
10:59:26,hanamother,파가가 안뇽
10:59:27,idjsjd,!업타임
10:59:27,minghgh,팤하
10:59:28,싹둑,방송 업타임: 0 시간 03 분 32 초
10:59:28,devkwa,악질이네ㅜ이게 7시냐
10:59:31,김치전굽는사람,파카마스터가냐?
10:59:31,이샹해,ㅈㄷㄹㅇ
10:59:33,20010614,파카는 아가야
10:59:34,돈게이츠,7시 막바지
10:59:35,수댕이형,팤아가
10:59:37,개간랄,♥♥
10:59:40,Xormralgh,"잠 깨는데 1시간, 1시간 커피마시고 롤할 예정"
10:59:40,일_썽,몇시간씩 일찍 당겨서 방송키는거 좋네요
10:59:42,제노제이,밥달라니까 진짜 밥주네
10:59:42,hanamother,파가가 뽀뽀쪽
10:59:43,너만보고있어,7시 59분이면 7시 맞지 ㅋㅋ
10:59:46,악의대마왕니모,ㅇㅅㅇ
10:59:46,우리얍얍이귀엽죠,ㅎㅎ
10:59:48,돈게이츠,7시 끄트머리
10:59:48,봄가을겨울,팤하
10:59:49,긴밤충,번데기 한캔 먹으면서 방송봐야지 ㅋㅋ
